	ReferenceID	Latitude	Longitude	DateTime	day_of_week_sin	day_of_week_cos	time_sin	time_cos
41	24-36768	0.6136498541482955	0.7348278532534127	2024-07-24 15:15:00.000	0.9749279121818236	-0.22252093395631434	-0.7518398074789773	-0.6593458151000691
42	SAPD24158558	-0.12312597517129165	-0.5242632881298763	2024-07-22 11:15:00.000	0.0	1.0	0.1950903220161286	-0.9807852804032304
43	SAPD24158288	-0.5529475612238063	-0.2037718348279547	2024-07-22 02:00:00.000	0.0	1.0	0.49999999999999994	0.8660254037844387
44	SAPD24158163	-0.7807645342921196	-0.4545204028392885	2024-07-21 21:17:00.000	-0.7818314824680299	0.6234898018587334	-0.6527597524627228	0.7575649843840493
45	SAPD24157843	-0.20506580286276233	-0.561217071824405	2024-07-21 13:30:00.000	-0.7818314824680299	0.6234898018587334	-0.38268343236508967	-0.9238795325112868
46	SAPD24157251	-0.7997125364629368	-0.43999581502324947	2024-07-20 15:52:00.000	-0.9749279121818236	-0.2225209339563146	-0.848048096156426	-0.529919264233205
47	SAPD24157396	-0.06781680347331409	-0.40525646117585223	2024-07-19 22:00:00.000	-0.433883739117558	-0.9009688679024191	-0.5000000000000004	0.8660254037844384
48	SAPD24156276	-0.1524065531510791	-0.5348692416082055	2024-07-19 11:11:00.000	-0.433883739117558	-0.9009688679024191	0.2121776721564464	-0.9772311064626789
49	SAPD24156048	-0.2827148768740241	-0.6026774145060658	2024-07-19 00:24:00.000	-0.433883739117558	-0.9009688679024191	0.10452846326765346	0.9945218953682733
50	SAPD24155764	-0.9052769486466434	-0.5140717308802337	2024-07-18 14:34:00.000	0.43388373911755823	-0.900968867902419	-0.6225146366376191	-0.7826081568524144
51	SAPD24155970	-0.8317956719354205	-0.6970898252865768	2024-07-18 10:00:00.000	0.43388373911755823	-0.900968867902419	0.49999999999999994	-0.8660254037844387
52	SAPD24155230	0.22960620039345492	-0.33270086148294564	2024-07-17 22:21:00.000	0.9749279121818236	-0.22252093395631434	-0.4186597375374281	0.9081431738250813
53	SAPD24154556	-0.683171087443193	-0.7131968887009523	2024-07-17 05:00:00.000	0.9749279121818236	-0.22252093395631434	0.9659258262890683	0.25881904510252074
54	SAPD24155944	0.27992503900684507	-0.07039322866728137	2024-07-17 01:50:00.000	0.9749279121818236	-0.22252093395631434	0.4617486132350339	0.8870108331782217
55	SAPD24154717	0.5716369310087512	-0.737268129635688	2024-07-17 00:00:00.000	0.9749279121818236	-0.22252093395631434	0.0	1.0
56	SAPD24161069	0.5452013092734542	-0.7372292799892716	2024-07-16 23:00:00.000	0.7818314824680298	0.6234898018587336	-0.2588190451025207	0.9659258262890683
57	SAPD24154031	-0.45322569703548243	-0.3218203705030951	2024-07-16 12:00:00.000	0.7818314824680298	0.6234898018587336	1.2246467991473532e-16	-1.0
58	SAPD24153966	-0.0782002577844132	-0.6134620763580503	2024-07-16 09:00:00.000	0.7818314824680298	0.6234898018587336	0.7071067811865476	-0.7071067811865475
59	24-35118	0.6074214775117031	0.4574698674065458	2024-07-15 19:21:22.000	0.0	1.0	-0.9381913359224842	0.346117057077493
60	SAPD24153560	-0.2754774099450519	-0.5207512800916214	2024-07-15 19:01:00.000	0.0	1.0	-0.9647873238288132	0.26303121445797406
61	SAPD24153257	-0.6087570381927988	-0.4706404161358151	2024-07-15 14:39:00.000	0.0	1.0	-0.6394390019805849	-0.7688418320734594
62	SAPD24153430	-0.08364425751306903	-0.3615506089299122	2024-07-15 14:37:00.000	0.0	1.0	-0.6327053285625156	-0.774392644082186
63	24-35042	0.7803575062750128	0.4312178663182493	2024-07-15 10:08:47.000	0.0	1.0	0.4694715627858907	-0.882947592858927
64	SAPD24152976	-0.11154687605998159	-0.6723633203152037	2024-07-15 06:47:00.000	0.0	1.0	0.9790454724845838	-0.20364175114017732
65	SAPD24153153	0.20192405535580282	-0.47727334577148095	2024-07-15 00:00:00.000	0.0	1.0	0.0	1.0
66	SAPD24152773	-0.7114510548809505	-0.26218875319282064	2024-07-14 22:36:00.000	-0.7818314824680299	0.6234898018587334	-0.35836794954530077	0.9335804264972015
67	SAPD24152291	-0.12796976545011507	-1.0	2024-07-14 08:00:00.000	-0.7818314824680299	0.6234898018587334	0.8660254037844387	-0.4999999999999998
68	SAPD24174182	0.02138593039820824	-0.2145409568213651	2024-07-14 00:00:00.000	-0.7818314824680299	0.6234898018587334	0.0	1.0
69	SAPD24152383	-0.5044645885625116	-0.3493647698296326	2024-07-13 21:00:00.000	-0.9749279121818236	-0.2225209339563146	-0.7071067811865477	0.7071067811865474
70	SAPD24151668	0.35673037785767625	-0.39130684812719496	2024-07-13 10:59:00.000	-0.9749279121818236	-0.2225209339563146	0.2630312144579752	-0.9647873238288129
71	24-P19560	0.22621854012617026	0.9659573498120793	2024-07-12 19:24:34.000	-0.433883739117558	-0.9009688679024191	-0.9335804264972017	0.3583679495453004
72	SAPD24150891	-0.0238789770029183	-0.23182904948754157	2024-07-12 11:00:00.000	-0.433883739117558	-0.9009688679024191	0.258819045102521	-0.9659258262890682
73	SAPD24155666	-0.4035004409470303	-0.5628694767863425	2024-07-12 09:00:00.000	-0.433883739117558	-0.9009688679024191	0.7071067811865476	-0.7071067811865475
74	SAPD24150629	-0.5213604911471401	-0.7834422294188612	2024-07-12 00:01:00.000	-0.433883739117558	-0.9009688679024191	0.004363309284746571	0.9999904807207345
75	SAPD24153068	-0.5901143070348004	-0.3325040232743306	2024-07-12 00:00:00.000	-0.433883739117558	-0.9009688679024191	0.0	1.0
76	SAPD24150364	-0.21371090835085638	-0.7208761688140997	2024-07-11 17:02:00.000	0.43388373911755823	-0.900968867902419	-0.9681476403781079	-0.25038000405444094
77	SAPD24150607	-0.28039566515162817	-0.79599066521926	2024-07-11 15:18:00.000	0.43388373911755823	-0.900968867902419	-0.7604059656000306	-0.6494480483301841
78	SAPD24150058	-0.8274667593786149	-0.5620406843289325	2024-07-11 09:52:00.000	0.43388373911755823	-0.900968867902419	0.5299192642332049	-0.848048096156426
79	SAPD24149922	-0.4961459534631336	-0.31509161173952605	2024-07-11 01:55:00.000	0.43388373911755823	-0.900968867902419	0.48098876891938763	0.8767267557075077
80	SAPD24149851	0.06757937046332385	-0.6294577707859488	2024-07-10 22:45:00.000	0.9749279121818236	-0.22252093395631434	-0.32143946530316186	0.9469301294951056
81	SAPD24149518	-0.3055762838342053	-0.5896524230426481	2024-07-10 15:06:00.000	0.9749279121818236	-0.22252093395631434	-0.7253743710122873	-0.6883545756937542
82	SAPD24149145	0.070962790855426	-0.49201549160755464	2024-07-10 01:33:00.000	0.9749279121818236	-0.22252093395631434	0.39474385638426723	0.9187912101488983
83	SAPD24148901	-0.4187894308391584	-0.4367738843450899	2024-07-09 18:47:00.000	0.7818314824680298	0.6234898018587336	-0.979045472484584	0.203641751140177
84	SAPD24157350	0.2150719082830166	-0.5308236984255184	2024-07-08 23:00:00.000	0.0	1.0	-0.2588190451025207	0.9659258262890683
85	SAPD24148289	-0.06121531782104406	-0.36086167519970413	2024-07-08 04:40:00.000	0.0	1.0	0.9396926207859083	0.3420201433256688
86	SAPD24147519	-0.6536403568278981	-0.3753111536992597	2024-07-07 23:49:00.000	-0.7818314824680299	0.6234898018587334	-0.04797812852134387	0.9988483864849507
87	24-P18952	0.191277728783664	1.0	2024-07-07 21:27:34.000	-0.7818314824680299	0.6234898018587334	-0.6190939493098336	0.7853169308807452
88	SAPD24147559	-0.6085577640594353	-0.5335405836999341	2024-07-07 19:30:00.000	-0.7818314824680299	0.6234898018587334	-0.9238795325112866	0.38268343236509
89	SAPD24147301	-0.19880774709993798	-0.43743173835818683	2024-07-07 18:48:00.000	-0.7818314824680299	0.6234898018587334	-0.9781476007338056	0.20791169081775943
90	SAPD24147310	0.008543348483813551	-0.42131431503808314	2024-07-07 16:39:00.000	-0.7818314824680299	0.6234898018587334	-0.938191335922484	-0.34611705707749335
91	SAPD24146950	-0.5214919272776599	-0.47397112582399215	2024-07-07 05:15:00.000	-0.7818314824680299	0.6234898018587334	0.9807852804032304	0.19509032201612833
92	SAPD24146601	-0.09009310765892209	-0.6707886146461359	2024-07-06 16:54:00.000	-0.9749279121818236	-0.2225209339563146	-0.958819734868193	-0.28401534470392265
